номер,url,заказчик,объект,Размещено,Обновлено,Окончание подачи заявок,Общая информация
32110383153,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110383153,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОРПОРАЦИЯ РАЗВИТИЯ САХАЛИНСКОЙ ОБЛАСТИ"" (Заказчик)","Приобретение печатной техники (МФУ), расходных материалов для нужд обособленного подразделения АО «Корпорация развития Сахалинской области» г. Москва",,,,{}
№ 0134200000121003099,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0134200000121003099,МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ИРКУТСКОЙ ОБЛАСТИ,Поставка специализированных продуктов лечебного питания,06.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка специализированных продуктов лечебного питания', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101342000059001000111'}"
№ 0816500000621009096,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816500000621009096,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",Поставка запасных частей,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «ЕЭТП»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://roseltorg.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка запасных частей', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103162000147001000047'}"
№ 0139200000121005846,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139200000121005846,ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА,Поставка лекарственных препаратов,28.06.2021,09.07.2021,06.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка лекарственных препаратов', 'Этап закупки': 'Определение поставщика завершено', 'Закупка лекарственного препарата': 'Да', 'Сведения о связи с позицией плана-графика': '202103393002495002000040'}"
32110458066,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110458066,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЕНТОРГ-ВОСТОК"" (Заказчик)","Поставка парфюмерно-косметической и хозяйственно-бытовой продукции для обеспечения объектов ТБО, расположенных в Приморском крае",09.07.2021,09.07.2021,,{}
№ 0120300013721000069,https://zakupki.gov.ru/epz/order/notice/ok504/view/common-info.html?regNumber=0120300013721000069,АДМИНИСТРАЦИЯ АРТЕМОВСКОГО ГОРОДСКОГО ОКРУГА,Выполнение научно-исследовательской работы  по разработке схемы и программы перспективного развития электрических сетей 6 кВ и выше Артемовского городского округа,09.07.2021,09.07.2021,02.08.2021,{}
№ 0802100000921000032,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0802100000921000032,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ХОЗЯЙСТВЕННОГО И СЕРВИСНОГО ОБЕСПЕЧЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ ПО РЕСПУБЛИКЕ БУРЯТИЯ""",Поставка автомобильных шин в целях осуществления текущего ремонта служебного автотранспорта МВД по Республике Бурятия в рамках государственного оборонного заказа,29.06.2021,05.07.2021,13.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «ЕЭТП»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://roseltorg.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка автомобильных шин в целях осуществления текущего ремонта служебного автотранспорта МВД по Республике Бурятия в рамках государственного оборонного заказа', 'Закупка товара, работы, услуги по государственному оборонному заказу в соответствии с ФЗ № 275-ФЗ от 29 декабря 2012 г.': 'Да', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': 'Связь с позицией плана-графика не установлена'}"
№ 0351100016421000013,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0351100016421000013,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",Поставка канцелярских товаров для обеспечения учебного процесса в ФГБОУ ВО НГМУ Минздрава России в целях выполнения государственного задания,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Запрос котировок в электронной форме', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка канцелярских товаров для обеспечения учебного процесса в ФГБОУ ВО НГМУ Минздрава России в целях выполнения государственного задания', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103511000164001000074'}"
№ 0816500000621008571,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816500000621008571,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""","Поставка медицинских расходных материалов для нужд ГБУ РС (Я) ""ЯРНД"" на 2021 год (перчатки)",29.06.2021,09.07.2021,08.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка медицинских расходных материалов для нужд ГБУ РС (Я) ""ЯРНД"" на 2021 год (перчатки)', 'Этап закупки': 'Работа комиссии', 'Сведения о связи с позицией плана-графика': '202103162000544001000022'}"
№ 0816500000621008219,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816500000621008219,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",Поставка набора  реагентов и расходного материала  для микробиологических исследований,22.06.2021,09.07.2021,05.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка набора  реагентов и расходного материала  для микробиологических исследований', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202103162000239001000054'}"
№ 0139200000121006129,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139200000121006129,ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА,"Капитальный ремонт помещения для установки маммографа по адресу: Кемеровская область-Кузбасс, Тисульский район, пгт. Тисуль, ул. Октябрьская 22 (пом. на 4 этаже)",02.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Капитальный ремонт помещения для установки маммографа по адресу: Кемеровская область-Кузбасс, Тисульский район, пгт. Тисуль, ул. Октябрьская 22 (пом. на 4 этаже)', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103393000676003000077'}"
№ 0816500000621008570,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816500000621008570,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",Поставка медицинского расходного материала (бахилы) для нужд Заказчика (ПТД),29.06.2021,09.07.2021,08.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка медицинского расходного материала (бахилы) для нужд Заказчика (ПТД)', 'Этап закупки': 'Работа комиссии', 'Сведения о связи с позицией плана-графика': '202103163000288001000069'}"
№ 0139200000121006401,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139200000121006401,ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА,Поставка оборудования электрического осветительного,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка оборудования электрического осветительного', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103392000063002000502'}"
№ 0102200001621002515,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0102200001621002515,РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ,"Приобретение объектов недвижимого имущества в пгт. Заиграево Заиграевского района Республики Бурятия для обеспечения предоставления жилых помещений детям-сиротам и детям, оставшимся без попечения родителей, лицам из их числа по договорам найма специализированных жилых помещений",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Приобретение объектов недвижимого имущества в пгт. Заиграево Заиграевского района Республики Бурятия для обеспечения предоставления жилых помещений детям-сиротам и детям, оставшимся без попечения родителей, лицам из их числа по договорам найма специализированных жилых помещений', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103022000305001000718'}"
№ 0134300097521000378,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0134300097521000378,КОМИТЕТ ПО ЭКОНОМИКЕ И СТРАТЕГИЧЕСКОМУ ПЛАНИРОВАНИЮ АДМИНИСТРАЦИИ ГОРОДА ИРКУТСКА,"выполнение работ по капитальному ремонту жилых помещений, расположенных по адресам г. Иркутск, ул. Генерала Доватора, д. 21, кв. 3; ул. Мира, д. 90, кв. 22; ул. Куликовская, д. 1, кв. 20, ул. Алексея Окладникова, д. 17, кв. 2",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'выполнение работ по капитальному ремонту жилых помещений, расположенных по адресам г. Иркутск, ул. Генерала Доватора, д. 21, кв. 3; ул. Мира, д. 90, кв. 22; ул. Куликовская, д. 1, кв. 20, ул. Алексея Окладникова, д. 17, кв. 2', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101343000900004000093'}"
№ 0816500000621006056,https://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=0816500000621006056,,"Выполнение работ по реконструкции объекта: ""Реконструкция мостового перехода через р.Нюя на км 114 автомобильной дороги 1246-й км а/д ""Вилюй"" - Ленск""",13.05.2021,01.07.2021,23.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Конкурс с ограниченным участием в электронной форме', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Выполнение работ по реконструкции объекта: ""Реконструкция мостового перехода через р.Нюя на км 114 автомобильной дороги 1246-й км а/д ""Вилюй"" - Ленск""', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103162000574001000062'}"
№ 0334300008021000091,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0334300008021000091,"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СЛЮДЯНСКАЯ РАЙОННАЯ БОЛЬНИЦА""",Поставка расходного материала (пленка рентгеновская),29.06.2021,09.07.2021,07.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка расходного материала (пленка рентгеновская)', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202103343000080001000131'}"
32110458072,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110458072,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЕНТОРГ-ВОСТОК"" (Заказчик)","Поставка напитков со вкусом для обеспечения объектов ТБО, расположенных в Приморском крае",09.07.2021,09.07.2021,,{}
32110432686,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110432686,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЕНТОРГ-ВОСТОК"" (Заказчик)","Поставка продукции быстрого приготовления для обеспечения объектов ТБО, расположенных в г. Хабаровске и г. Бикин Хабаровского края",30.06.2021,30.06.2021,,{}
32110432692,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110432692,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЕНТОРГ-ВОСТОК"" (Заказчик)","Поставка кондитерских изделий для обеспечения объектов ТБО, расположенных в г. Хабаровске и г. Бикин Хабаровского края",30.06.2021,30.06.2021,,{}
№ 0139200000121006052,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139200000121006052,ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА,Поставка лекарственных препаратов,30.06.2021,09.07.2021,08.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка лекарственных препаратов', 'Этап закупки': 'Определение поставщика завершено', 'Закупка лекарственного препарата': 'Да', 'Сведения о связи с позицией плана-графика': '202103393002495002000040'}"
№ 0102200001621002391,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0102200001621002391,РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ,Поставка горюче-смазочных материалов для нужд Республиканского государственного учреждения «Центр социальной поддержки населения» в 3-м квартале 2021 года,05.07.2021,05.07.2021,13.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка горюче-смазочных материалов для нужд Республиканского государственного учреждения «Центр социальной поддержки населения» в 3-м квартале 2021 года', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103022000027002000253'}"
